track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
9,32:22,1942,Render & Kabayun & Radikal Moodz & Daksinamurti,Perpetual,Sangoma Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
10,36:22,2182,Outside The Universe,Alternate Minds,Sacred Technology,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
11,39:54,2394,Audiosonic,The world is changed,United Beats Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
12,43:55,2635,Jumpstreet & Siloka,Overmotivated,Looney Moon Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
13,47:11,2831,Aloom,Midare,Digital Om,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
14,50:14,3014,Outsiders & Tristan,Force of Nature (Fungus Funk rmx),Sacred Technology,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
15,54:09,3249,X-Side,Electric Nature,Sahman Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
16,58:46,3526,Dial and Avan7,Bambare,Sonoora Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
17,1:02:55,3775,Ovnimoon & Via Axis & Itom Lab,Galactic Mantra (Psymon rmx),Phantasm Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
1,00:00,0,Acid Punks & Fungus Funk,Fungus Punk,Mutant Disco Records,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
2,05:30,330,Burn In Noise & Tristan,Circles,Nano Records,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
3,08:08,488,Rewind,Let's Go!,Solar Tech Records,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
4,11:11,671,,Akratas BABY REMIX (unreleased),,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
5,15:32,932,Magik,Buoyancy (Volcano rmx),Sacred Technology,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
6,19:40,1180,Spectra Sonics,Psychedelic Renaissance,Shamanic Tales,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
7,23:19,1399,Etnica,Vimana (Acid Punks rmx),Mutant Disco Records,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
8,27:41,1661,Dickster & Chromatone & 0zzy,Bells Hells,Nano Records,Psychedelic Trance mix August 2025,https://youtube.com/watch?v=06oYpKrDMDo,06oYpKrDMDo,2025-08-14,Psychedelic Trance
